"objective","user_id","earned_points","possible_points","per_earned"
"LO 1",289507,25,28,0.892857142857143
"LO 1",115748,25,28,0.892857142857143
"LO 1",329603,23,28,0.821428571428571
"LO 1",605496,26,28,0.928571428571429
"LO 1",531357,25,28,0.892857142857143
"LO 1",757525,27,28,0.964285714285714
"LO 1",140794,25,28,0.892857142857143
"LO 1",933297,23,28,0.821428571428571
"LO 1",276038,21,28,0.75
"LO 1",644324,26,28,0.928571428571429
"LO 1",945565,24,28,0.857142857142857
"LO 1",184761,28,28,1
"LO 1",785913,25,28,0.892857142857143
"LO 1",816577,23,28,0.821428571428571
"LO 1",432718,26,28,0.928571428571429
"LO 1",355665,28,28,1
"LO 1",275877,25,28,0.892857142857143
"LO 1",626659,25,28,0.892857142857143
"LO 1",789497,24,28,0.857142857142857
"LO 1",791068,23,28,0.821428571428571
"LO 1",455229,23,28,0.821428571428571
"LO 1",233705,24,28,0.857142857142857
"LO 1",813880,21,28,0.75
"LO 1",570469,26,28,0.928571428571429
"LO 1",129681,25,28,0.892857142857143
"LO 1",307355,24,28,0.857142857142857
"LO 1",383875,24,28,0.857142857142857
"LO 1",120184,23,28,0.821428571428571
"LO 1",960102,23,28,0.821428571428571
"LO 1",870149,24,28,0.857142857142857
"LO 1",615377,25,28,0.892857142857143
"LO 1",510398,21,28,0.75
"LO 1",291842,13,28,0.464285714285714
"LO 1",745515,25,28,0.892857142857143
"LO 1",714859,25,28,0.892857142857143
"LO 1",249705,25,28,0.892857142857143
"LO 1",843279,26,28,0.928571428571429
"LO 1",715029,25,28,0.892857142857143
"LO 1",595458,26,28,0.928571428571429
"LO 1",556572,25,28,0.892857142857143
"LO 1",707794,25,28,0.892857142857143
"LO 1",273532,25,28,0.892857142857143
"LO 1",172521,24,28,0.857142857142857
"LO 1",577243,25,28,0.892857142857143
"LO 1",515683,25,28,0.892857142857143
"LO 1",821528,25,28,0.892857142857143
"LO 1",926021,25,28,0.892857142857143
"LO 1",893603,25,28,0.892857142857143
"LO 1",740733,23,28,0.821428571428571
"LO 1",699284,22,28,0.785714285714286
"LO 1",195383,23,28,0.821428571428571
"LO 1",612302,22,28,0.785714285714286
"LO 1",231512,26,28,0.928571428571429
"LO 1",639317,27,28,0.964285714285714
"LO 1",811838,23,28,0.821428571428571
"LO 1",186457,19,28,0.678571428571429
"LO 1",602532,27,28,0.964285714285714
"LO 1",430512,15,28,0.535714285714286
"LO 1",936647,24,28,0.857142857142857
"LO 1",740552,24,28,0.857142857142857
"LO 1",992232,24,28,0.857142857142857
"LO 1",812148,25,28,0.892857142857143
